Date,GDP_Growth,Agriculture_Growth,Manufacturing_Growth,Service_Growth
1991 Q1,-0.5,3,-2,-0.4
1991 Q2,-0.1,1.2,-1.8,-0.5
1991 Q3,-0.2,-0.7,-1.1,0.5
1991 Q4,0.1,-0.2,0.7,0.4
1992 Q1,0,4.3,0.3,0.5
1992 Q2,-0.2,-1,0,0.5
1992 Q3,0.5,-0.6,0.5,0.5
1992 Q4,0.8,-2.7,-0.3,1.6
1993 Q1,0.5,-5,1.5,2.3
1993 Q2,0.4,-3.2,-0.2,2.9
1993 Q3,0.9,0.7,0,3.5
1993 Q4,0.7,-0.9,0.5,2.9
1994 Q1,1,-3,2.1,3.4
1994 Q2,0.9,0,1.9,3.1
1994 Q3,1,1.9,0.9,2.9
1994 Q4,0.4,1.3,1.7,2.9
1995 Q1,0.5,-5.4,-1.5,2.9
1995 Q2,0.2,-1.2,0.9,2.2
1995 Q3,1.1,2,0.3,2.8
1995 Q4,0.3,1.4,0.1,2.8
1996 Q1,0.7,-2.9,0.3,2.8
1996 Q2,0.3,-6.2,-0.7,4
1996 Q3,0.9,3.6,0.4,3.2
1996 Q4,1.4,2.5,1.2,4.1
1997 Q1,1.6,-5.6,0.7,4.8
1997 Q2,1.1,4.9,1.8,4.4
1997 Q3,0.9,2.9,1.4,4.3
1997 Q4,1.5,3.8,2.2,4.3
1998 Q1,0.7,5.2,1,3
1998 Q2,0.6,3.7,1,3.2
1998 Q3,0.3,2.3,0.5,3.1
1998 Q4,0.7,1.4,0.6,2.6
1999 Q1,0.7,7.4,2,2
1999 Q2,0.5,2.1,1.1,1.3
1999 Q3,1.6,2.1,1.9,2.6
1999 Q4,1.4,1.9,0.5,4
2000 Q1,1.2,2.8,1.3,5.2
2000 Q2,0.7,2.1,1.2,6.3
2000 Q3,0.6,1.7,0.9,5.5
2000 Q4,0.6,0.5,2,3.9
2001 Q1,0.9,-1.7,0.9,3.4
2001 Q2,0.4,-1.4,0.5,2.3
2001 Q3,0.5,2.5,0.7,1.8
2001 Q4,0.3,2.4,-0.4,1.9
2002 Q1,0.3,17.8,0.8,1.1
2002 Q2,0.5,2.1,-1,1.7
2002 Q3,0.7,-0.1,7.1,1.3
2002 Q4,0.8,-0.2,-0.7,1.8
2003 Q1,0.7,-1.5,-0.1,2.7
2003 Q2,0.9,-0.7,-0.7,3.4
2003 Q3,0.9,-3.1,0.7,4.5
2003 Q4,0.8,-3.2,1.9,4.3
2004 Q1,0.4,-2.7,1.8,3.5
2004 Q2,0.6,-3.8,-0.3,3.1
2004 Q3,0.4,-2.4,-1.4,3
2004 Q4,0.5,-2.4,0.3,3.2
2005 Q1,0.7,12.5,0.5,3.9
2005 Q2,0.8,0.6,1.6,3.8
2005 Q3,0.8,2.1,0.1,4.3
2005 Q4,0.9,-0.6,2.3,4.3
2006 Q1,0.5,0.7,1.8,3.8
2006 Q2,0.4,-1,3.6,2.9
2006 Q3,0.3,-1.3,0.9,1.5
2006 Q4,0.5,-6.2,0.2,1.2
2007 Q1,0.9,-6.1,-1.3,2.5
2007 Q2,0.7,-3.1,-0.8,3.9
2007 Q3,0.7,-0.1,0.4,4.9
2007 Q4,0.6,6.6,0.8,4.7
2008 Q1,0.5,18,0.7,3.9
2008 Q2,-0.5,3.4,-0.5,2.3
2008 Q3,-1.5,1.2,-0.9,-0.5
2008 Q4,-2.1,-0.9,-3.6,-2.7
2009 Q1,-2,-1.7,-5.7,-4.4
2009 Q2,-0.3,-3.3,-0.4,-4.7
2009 Q3,0.1,-5.1,-0.8,-2.9
2009 Q4,0.3,-5.7,0.4,-0.5
2010 Q1,0.9,-7,-0.1,1.5
2010 Q2,1.1,-4.5,0.8,3.2
2010 Q3,0.6,-0.2,-0.8,4.1
2010 Q4,0.1,3.5,0,3.6
2011 Q1,0.3,21.7,-1.5,3.1
